Backward Tilt | AccelY=-2664
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2776
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2792
Backward Tilt | AccelY=-2680
Backward Tilt | AccelY=-2740
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2648
Backward Tilt | AccelY=-2744
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2844
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2764
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2752
Backward Tilt | AccelY=-2744
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2796
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2784
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2704
Backward Tilt | AccelY=-2832
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2816
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2756
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2680
Backward Tilt | AccelY=-2840
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2692
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2648
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2796
Backward Tilt | AccelY=-2856
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2684
Backward Tilt | AccelY=-2768
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2816
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2824
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2748
Backward Tilt | AccelY=-2892
Backward Tilt | AccelY=-2740
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2828
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2824
Backward Tilt | AccelY=-2744
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2776
Backward Tilt | AccelY=-2764
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2756
Backward Tilt | AccelY=-2624
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2764
Backward Tilt | AccelY=-2748
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2696
Backward Tilt | AccelY=-2764
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2768
Backward Tilt | AccelY=-2696
Backward Tilt | AccelY=-2744
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2796
Backward Tilt | AccelY=-2764
Backward Tilt | AccelY=-2800
Backward Tilt | AccelY=-2680
Backward Tilt | AccelY=-2680
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2680
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2660
Backward Tilt | AccelY=-2796
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2652
Backward Tilt | AccelY=-2664
Backward Tilt | AccelY=-2768
Backward Tilt | AccelY=-2756
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2664
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2732
Backward Tilt | AccelY=-2808
Backward Tilt | AccelY=-2768
Backward Tilt | AccelY=-2756
Backward Tilt | AccelY=-2812
Backward Tilt | AccelY=-2632
Backward Tilt | AccelY=-2756
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2804
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2584
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2688
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2704
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2808
Backward Tilt | AccelY=-2744
Backward Tilt | AccelY=-2808
Backward Tilt | AccelY=-2800
Backward Tilt | AccelY=-2696
Backward Tilt | AccelY=-2744
Backward Tilt | AccelY=-2688
Backward Tilt | AccelY=-2736
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2664
Backward Tilt | AccelY=-2740
Backward Tilt | AccelY=-2648
Backward Tilt | AccelY=-2724
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2652
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2784
Backward Tilt | AccelY=-2792
Backward Tilt | AccelY=-2740
Right Tilt | AccelX=2096
Backward Tilt | AccelY=-2640
Backward Tilt | AccelY=-2888
Backward Tilt | AccelY=-2876
Backward Tilt | AccelY=-2768
Backward Tilt | AccelY=-2676
Backward Tilt | AccelY=-2684
Backward Tilt | AccelY=-2684
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2760
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2644
Backward Tilt | AccelY=-2692
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2660
Backward Tilt | AccelY=-2808
Backward Tilt | AccelY=-2696
Backward Tilt | AccelY=-2768
Backward Tilt | AccelY=-2800
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2712
Backward Tilt | AccelY=-2700
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2708
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2692
Backward Tilt | AccelY=-2756
Backward Tilt | AccelY=-2788
Backward Tilt | AccelY=-2632
Backward Tilt | AccelY=-2640
Backward Tilt | AccelY=-2716
Backward Tilt | AccelY=-2780
Backward Tilt | AccelY=-2740
Backward Tilt | AccelY=-2804
Backward Tilt | AccelY=-2720
Backward Tilt | AccelY=-2656
Backward Tilt | AccelY=-2728
Backward Tilt | AccelY=-2772
Backward Tilt | AccelY=-2928
Backward Tilt | AccelY=-2688
Backward Tilt | AccelY=-2780
Backward Tilt | AccelY=-2704
Backward Tilt | AccelY=-2852
Backward Tilt | AccelY=-2692
Backward Tilt | AccelY=-2748
